diâmetro,peso
7.9,141.52
7.39,140.93
8.02,114.09
8.72,143.4
7.31,164.66
7.31,124.52
8.76,170.97
8.11,159.76
7.12,135.32
7.93,147.17
7.13,181.97
7.13,164.67
7.69,150.18
6.0,145.25
6.12,151.53
7.05,139.76
6.69,107.91
7.75,190.84
6.77,153.11
6.37,157.96
8.67,148.84
7.32,135.3
7.55,146.28
6.36,118.01
7.06,195.54
7.59,125.31
6.58,129.36
7.8,141.19
7.02,175.76
7.27,150.29
7.02,125.28
8.98,175.09
7.49,164.62
6.65,160.77
8.16,164.31
6.52,197.89
7.67,193.7
6.0,136.27
6.44,182.48
7.66,157.66
8.09,159.98
7.64,116.15
7.41,146.59
7.26,133.74
6.32,166.56
6.92,171.42
7.13,108.51
8.35,149.56
7.77,172.44
6.09,146.27
7.76,164.58
7.19,157.02
6.96,156.83
7.99,144.57
8.32,125.67
8.25,127.57
6.83,164.19
7.25,150.39
7.77,147.23
8.28,141.52
7.12,143.9
7.35,170.94
6.61,143.3
6.54,123.18
8.15,164.87
8.58,145.9
7.44,150.63
8.3,182.15
7.79,149.59
6.98,155.78
7.79,126.42
8.73,145.61
7.47,162.19
8.75,118.89
6.0,154.02
8.16,152.02
7.57,150.83
7.26,170.74
7.57,156.69
6.0,179.56
7.32,130.13
7.79,152.72
8.68,151.69
7.09,128.61
6.85,169.13
7.1,196.49
8.23,149.66
7.76,160.1
7.08,151.69
7.91,135.73
7.58,113.58
8.27,135.88
6.94,122.16
7.24,184.08
7.19,147.7
6.33,143.08
7.74,167.78
7.71,127.56
7.5,134.66
7.31,151.36
6.37,170.58
7.16,160.03
7.23,154.97
6.86,151.56
7.37,158.0
7.82,154.03
9.0,129.4
7.64,150.92
7.71,128.53
7.44,151.62
6.0,140.39
7.48,200.0
7.55,149.2
9.0,121.92
7.35,147.32
7.74,160.39
7.47,183.47
6.57,138.21
8.41,118.35
8.1,166.34
8.13,122.39
6.77,141.28
8.62,144.85
6.38,148.61
7.97,163.78
9.0,136.33
6.71,144.53
7.05,149.71
7.58,152.99
7.1,151.96
6.26,158.72
7.55,166.88
6.65,157.85
7.88,159.07
6.76,118.36
8.74,151.0
6.87,159.59
7.24,164.58
8.15,136.15
6.52,136.82
7.68,138.52
8.55,160.73
6.21,170.68
7.65,141.85
7.71,168.16
8.13,152.47
6.51,147.51
6.44,145.77
7.92,164.93
7.74,156.51
7.7,195.52
7.78,132.96
6.96,160.36
7.69,139.42
7.73,132.61
6.93,149.78
8.99,152.75
7.88,200.0
6.55,146.32
8.03,127.4
6.72,155.46
8.13,108.51
8.43,148.16
6.84,150.32
8.27,165.89
7.83,169.47
8.16,139.93
9.0,146.99
7.3,134.68
6.9,127.44
6.79,156.2
6.85,124.53
7.44,141.71
7.77,130.1
7.72,160.99
8.16,186.03
7.51,123.97
8.66,112.94
7.29,147.5
9.0,150.31
8.0,154.37
6.81,141.07
6.64,145.99
7.89,157.35
7.32,170.81
8.07,110.9
7.88,142.62
7.44,154.28
6.82,131.64
6.29,184.62
7.14,137.29
8.19,149.17
7.67,161.12
6.5,138.17
7.64,113.07
7.81,141.43
6.79,170.59
7.62,143.26
7.55,133.07
6.59,168.51
7.79,143.38
7.95,139.8
8.37,152.99
8.34,165.42
6.4,197.63
6.75,166.54
7.91,173.2
7.91,139.88
7.91,129.48
9.0,151.25
7.96,152.14
8.41,128.43
8.26,146.49
8.02,157.99
7.25,157.21
8.11,160.09
6.88,155.82
7.31,139.86
7.11,139.72
7.57,126.02
9.0,185.7
6.01,150.27
8.05,145.5
6.21,131.42
7.12,200.0
8.37,128.53
7.55,141.42
6.64,158.32
6.93,162.0
8.04,169.16
6.92,186.15
7.67,160.12
7.54,128.88
6.98,144.86
9.0,156.16
8.01,191.36
6.0,122.04
7.65,174.05
6.97,153.6
8.18,166.76
6.87,147.96
7.41,133.15
7.9,165.02
8.19,163.09
6.54,169.44
7.23,149.73
7.12,138.0
6.98,118.82
8.91,166.39
7.82,158.48
6.49,130.68
8.23,139.23
9.0,140.66
8.33,120.34
6.28,133.65
7.11,127.32
8.51,141.75
6.93,135.23
7.86,117.46
8.12,190.45
6.76,175.05
7.45,134.42
6.0,155.45
6.68,158.35
7.3,173.82
6.5,133.63
8.81,171.84
6.36,139.04
7.15,123.28
7.6,164.48
8.65,175.82
6.35,200.0
8.43,126.01
7.51,163.98
6.71,141.8
7.87,165.67
7.66,120.59
7.02,124.74
7.56,134.48
7.19,151.58
7.59,137.18
8.03,163.18
8.77,170.54
6.51,161.99
9.0,182.38
6.0,158.32
7.38,125.66
7.97,177.27
7.72,137.9
7.0,168.21
7.33,181.47
7.11,159.13
7.03,120.08
8.18,131.64
7.79,176.45
6.95,146.62
8.22,151.59
7.75,165.18
8.15,163.93
8.0,155.58
6.84,145.83
7.05,143.75
8.1,167.16
7.99,161.07
7.48,144.85
7.59,171.64
8.52,147.42
7.03,132.97
7.94,134.82
7.34,130.43
7.33,144.55
8.38,174.67
8.16,133.9
8.15,153.77
8.54,136.87
7.52,144.79
8.05,119.8
7.25,145.59
7.76,146.13
7.4,160.81
7.58,154.47
7.98,126.03
6.85,171.68
9.0,154.21
6.7,153.97
6.53,149.82
8.43,139.64
8.13,154.36
8.0,159.51
8.0,115.06
7.49,139.22
6.78,144.9
7.56,155.12
6.96,173.87
8.28,134.57
7.38,140.04
6.84,139.75
7.24,133.97
7.83,143.06
7.05,165.42
6.84,128.92
7.69,158.56
7.7,115.96
7.09,138.77
7.12,143.41
7.69,183.5
6.34,144.5
6.37,105.98
6.93,110.02
7.33,150.68
7.75,162.28
8.68,157.51
8.19,153.35
7.37,173.25
7.48,139.21
6.7,167.9
7.49,117.36
7.27,131.9
7.76,113.86
6.84,144.5
7.92,149.07
8.73,152.28
7.41,151.24
7.82,131.45
8.05,146.2
7.18,120.05
7.68,177.26
7.51,143.93
7.58,140.22
6.88,181.78
7.52,125.16
7.9,127.49
8.66,128.08
8.27,148.64
9.0,158.63
6.89,164.79
8.2,200.0
7.65,105.01
9.0,162.17
6.85,138.86
6.83,138.27
7.02,137.6
6.0,131.82
7.08,183.69
6.89,166.85
7.62,150.46
7.77,177.02
9.0,119.75
8.26,123.39
7.04,106.44
6.78,136.01
7.89,153.23
6.44,152.06
8.97,152.99
8.44,121.78
7.12,166.06
6.13,154.79
8.58,164.66
7.41,112.14
8.49,156.23
6.22,126.24
7.02,142.05
7.5,160.69
7.54,151.82
7.14,132.97
8.0,150.13
6.65,119.37
7.39,173.01
7.6,145.89
7.91,172.37
8.07,139.47
6.6,139.53
6.27,134.72
8.52,167.52
7.77,135.81
6.9,162.89
8.74,142.35
7.59,110.48
8.44,138.59
7.55,126.42
9.0,150.68
8.9,126.19
7.3,168.52
8.28,148.18
8.02,146.45
8.59,163.12
6.73,169.28
8.05,149.6
8.35,134.58
6.09,114.52
6.55,136.28
6.0,137.66
7.28,152.14
8.07,143.1
8.7,163.76
7.56,137.74
8.8,148.86
6.4,173.68
6.14,156.84
7.46,148.8
7.81,137.96
7.47,137.34
6.0,132.99
7.43,139.18
6.46,165.11
8.04,145.56
7.79,123.0
6.75,185.36
7.09,156.4
6.65,121.86
7.45,141.16
8.26,152.22
6.71,184.09
7.9,127.84
7.08,169.52
6.87,177.99
7.41,137.43
6.67,144.45
7.06,129.27
6.54,145.93
9.0,149.27
7.53,163.19
6.94,171.8
7.67,135.04
7.41,110.65
7.32,149.58
7.99,155.87
8.11,154.99
7.08,143.47
7.04,152.5
7.28,180.31
6.0,157.63
6.29,142.53
8.59,140.0
8.82,146.6
7.3,182.73
7.96,146.33
7.75,149.6
9.0,140.35
8.4,171.98
7.4,189.2
6.74,159.01
6.21,151.66
7.66,150.74
6.89,102.31
6.36,164.9
